Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Irregular,Flake,41.99000168,NoCortex,4.849999905, ,, ,Encurvado,Irregular,Multifacetted,Other,No_cortex
Natural,Other,Flake,24.57999992,NoCortex,7.199999809, ,, ,Torcido,1,Liso,Other,No_cortex
Natural,Other,Flake,29.88999939,NoCortex,4.139999866, ,,0,Encurvado,Triangular,Other,Other,No_cortex
Natural,Other,Flake, ,NoCortex,4.559999943, ,,0,Direito,Irregular,Other,Other,No_cortex
1,Other,Flake, ,NoCortex,3.150000095,16.38999939,,0,1,1,Other,Other,No_cortex
1,Other,Flake, ,NoCortex,4.71999979,11.84000015,,0,1,1,Other,Other,No_cortex
Natural,Other,Flake,25.71999931,NoCortex,3.849999905, ,,0,Direito,Triangular,Other,Other,No_cortex
Natural,Irregular,Flake,25.02000046,NoCortex,2.680000067, ,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Other,Flake,26.49,NoCortex,8.97, ,,1,Direito,1,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,18.97999954,NoCortex,1.929999948, ,,1,Direito,Irregular,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake,28.01000023,NoCortex,5.420000076, ,,1,Direito,1,Liso,Other,No_cortex
Natural,Divergent,Flake,27.61000061,NoCortex,2.710000038, ,,2,Encurvado,1,Liso,Unidireccional,No_cortex
Natural,Irregular,Flake, ,NoCortex,3.99,12.08,,2,Encurvado,Triangular,Other,Unidireccional,No_cortex
Natural,Irregular,Flake, ,NoCortex,6.5,23.23,,2,Direito,Irregular,Other,Unidireccional,No_cortex
Natural,Paralell,Flake,27.71,NoCortex,8.29, ,,2,Direito,Trapezoidal,Linear,Unidireccional,No_cortex
1,Other,Flake, ,NoCortex,2.59,12.5,,2,1,Triangular,Liso,Unidireccional,No_cortex
1,Divergent,Flake, ,NoCortex,3.75,13.36,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
1,Paralell,Flake, ,NoCortex,2.66,15.5,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Paralell,Flake,25.18000031,NoCortex,4.860000134, ,,2,Direito,Triangular,Liso,Unidireccional,No_cortex
Natural,Circular,Flake,13.39000034,NoCortex,2.700000048, ,,2,Direito,Flat,Crushed,Other,No_cortex
Hinged,Divergent,Flake, ,NoCortex,2.13,10.27,,2,Encurvado,Triangular,Linear,Bidireccional,No_cortex
Natural,Other,Flake,14.21000004,NoCortex,3.589999914, ,,3,Direito,1,Other,Unidireccional,No_cortex
Natural,Paralell,Flake, ,NoCortex,2.43,12.54,,3,Torcido,Trapezoidal,Other,Unidireccional,No_cortex
Natural,Divergent,Flake,25.55,NoCortex,2.13, ,,3,Direito,Flat,Liso,Unidireccional,No_cortex
Natural,Convergent,Flake, ,NoCortex,9.03,18.86,,3,Direito,Triangular,Other,Unidireccional,No_cortex
Natural,Other,Flake,33.16999817,NoCortex,3.289999962, ,,3,Direito,1,Liso,Other,No_cortex
Natural,Irregular,Flake, ,NoCortex,17.25,31.48,,3,Direito,Trapezoidal,Liso,Other,No_cortex
1,Irregular,Flake, ,NoCortex,2.74,14.02,,4,Direito,Irregular,Other,Unidireccional,No_cortex
Hinged,Divergent,Flake, ,NoCortex,3.05,11.83,,4,Encurvado,Triangular,Liso,Unidireccional,No_cortex
